name,link
Taqueria La Iguana Azul,https://www.yelp.com/biz/taqueria-la-iguana-azul-san-francisco?osq=tacos
Publico Urban Taqueria,https://www.yelp.com/biz/publico-urban-taqueria-san-francisco-3?osq=tacos
Blue Iguana Taco Truck,https://www.yelp.com/biz/blue-iguana-taco-truck-san-francisco?osq=tacos
San Buena Taco Truck,https://www.yelp.com/biz/san-buena-taco-truck-san-francisco-2?osq=tacos
Los Compadres Taco Truck,https://www.yelp.com/biz/los-compadres-taco-truck-san-francisco?osq=tacos
Los Compadres Taco Truck,https://www.yelp.com/biz/los-compadres-taco-truck-san-francisco-3?osq=tacos
Taqueria La Cumbre,https://www.yelp.com/biz/taqueria-la-cumbre-san-francisco?osq=tacos
La Placita Mexicatessen,https://www.yelp.com/biz/la-placita-mexicatessen-san-francisco?osq=tacos
La Paz Restaurant Pupuseria,https://www.yelp.com/biz/la-paz-restaurant-pupuseria-san-francisco?osq=tacos
Taqueria El Jalapeno,https://www.yelp.com/biz/taqueria-el-jalapeno-san-francisco?osq=tacos
Los Yaquis,https://www.yelp.com/biz/los-yaquis-san-francisco?osq=tacos
Burrito Loco,https://www.yelp.com/biz/burrito-loco-san-francisco?osq=tacos
Cadillac Bar & Grill,https://www.yelp.com/biz/cadillac-bar-and-grill-san-francisco?osq=tacos
El Azteca Taqueria,https://www.yelp.com/biz/el-azteca-taqueria-san-francisco?osq=tacos
Taqueria Dos Amigos,https://www.yelp.com/biz/taqueria-dos-amigos-san-francisco-4?osq=tacos
Tommy’s,https://www.yelp.com/biz/tommys-san-francisco-2?osq=tacos
El Tonayense,https://www.yelp.com/biz/el-tonayense-san-francisco-8?osq=tacos
Tres Tequila Lounge & Mexican Kitchen,https://www.yelp.com/biz/tres-tequila-lounge-and-mexican-kitchen-san-francisco?osq=tacos
Chavitas,https://www.yelp.com/biz/chavitas-san-francisco?osq=tacos
La Tortilla,https://www.yelp.com/biz/la-tortilla-san-francisco?osq=tacos
Mercedes Restaurant,https://www.yelp.com/biz/mercedes-restaurant-san-francisco?osq=tacos
Mercedes Restaurant,https://www.yelp.com/biz/mercedes-restaurant-san-francisco?osq=tacos
La Quinta Restaurant,https://www.yelp.com/biz/la-quinta-restaurant-san-francisco?osq=tacos
Taqueria Vallarta,https://www.yelp.com/biz/taqueria-vallarta-san-francisco-3?osq=tacos
Publico Urban Taqueria,https://www.yelp.com/biz/publico-urban-taqueria-san-francisco-5?osq=tacos
El Castillito,https://www.yelp.com/biz/el-castillito-san-francisco-4?osq=tacos
